learning_rate,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,5,100,3,0.30000000000000004,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,100,3,0.4,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,5,100,3,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,100,3,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,100,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.1,0.5,0.23076923076923078,1.0,0.375,0.3082573996425538
0.01,5,100,4,0.2,0.85,0.5,0.6666666666666666,0.5714285714285714,0.4900980294098034
0.01,5,100,4,0.30000000000000004,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,5,100,4,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,5,100,4,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,100,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,100,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,100,5,0.1,0.5932203389830508,0.25806451612903225,0.8888888888888888,0.4,0.3088098820743421
0.01,5,100,5,0.2,0.847457627118644,0.5,0.6666666666666666,0.5714285714285714,0.4883028940238392
0.01,5,100,5,0.30000000000000004,0.8813559322033898,0.75,0.3333333333333333,0.46153846153846156,0.4481274169454284
0.01,5,100,5,0.4,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.01,5,100,5,0.5,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
0.01,5,100,5,0.6,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,100,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,100,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,100,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.01,5,200,1,0.1,0.7666666666666667,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.35735948550863555
0.01,5,200,1,0.2,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
0.01,5,200,1,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
0.01,5,200,1,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,200,1,0.5,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,200,1,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,5,200,1,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,200,1,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,200,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,200,2,0.1,0.65,0.25,0.6666666666666666,0.36363636363636365,0.2286647801900118
0.01,5,200,2,0.2,0.8,0.4,0.6666666666666666,0.5,0.40422604172722165
0.01,5,200,2,0.30000000000000004,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
0.01,5,200,2,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,200,2,0.5,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,5,200,2,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,200,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,200,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,200,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,200,3,0.1,0.8,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.46094194507635605
0.01,5,200,3,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.01,5,200,3,0.30000000000000004,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,5,200,3,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,200,3,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,200,3,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,5,200,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,200,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,200,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,200,4,0.1,0.7833333333333333,0.4,0.8888888888888888,0.5517241379310345,0.49507377148833714
0.01,5,200,4,0.2,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421,0.5636018619766345
