pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,0.01,200,5,0.30000000000000004,0.7457627118644068,0.3157894736842105,0.75,0.4444444444444444,0.36275590589985146
180,3,0.01,200,5,0.4,0.847457627118644,0.46153846153846156,0.75,0.5714285714285714,0.5061268009552122
180,3,0.01,200,5,0.5,0.8983050847457628,0.6666666666666666,0.5,0.5714285714285714,0.5219323403113362
180,3,0.01,200,5,0.6,0.9152542372881356,0.8,0.5,0.6153846153846154,0.5905329129507862
180,3,0.01,200,5,0.7000000000000001,0.8813559322033898,1.0,0.125,0.2222222222222222,0.3315324917763691
180,3,0.01,200,5,0.8,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,200,5,0.9,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.1,100,1,0.1,0.8,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.46094194507635605
180,3,0.1,100,1,0.2,0.8333333333333334,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.5120196528544808
180,3,0.1,100,1,0.30000000000000004,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
