criterion,cvTest,splitter,max_depth,min_samples_split,min_samples_leaf,precision,recall,accuracy,f1,train_time,test_time
gini,5,random,50,2,1,1.0,1.0,1.0,1.0,0.015360069274902344,0.007913875579833984
gini,5,best,50,5,1,1.0,1.0,1.0,1.0,0.041656875610351564,0.004336214065551758
gini,5,random,50,5,1,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.013662433624267578,0.0046748161315917965
gini,5,best,50,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.020984125137329102,0.0014102935791015625
gini,5,random,50,2,2,1.0,0.9787234042553191,0.9893617021276596,0.989247311827957,0.005318164825439453,0.0013412952423095704
gini,5,best,50,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.017632579803466795,0.001586771011352539
gini,5,random,50,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.005750608444213867,0.0017913818359375
gini,5,best,100,2,1,1.0,1.0,1.0,1.0,0.01806983947753906,0.002019786834716797
gini,5,random,100,2,1,1.0,1.0,1.0,1.0,0.0058116912841796875,0.0012863636016845702
gini,5,best,100,5,1,1.0,1.0,1.0,1.0,0.019119882583618165,0.0014081001281738281
gini,5,random,100,5,1,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.0073740482330322266,0.0012986183166503907
gini,5,best,100,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.014873790740966796,0.0013675212860107422
gini,5,random,100,2,2,1.0,0.9787234042553191,0.9893617021276596,0.989247311827957,0.005058097839355469,0.0014490127563476563
gini,5,best,100,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.01618666648864746,0.0013441085815429688
gini,5,random,100,5,2,0.9565217391304348,0.9361702127659575,0.9468085106382979,0.9462365591397849,0.005730867385864258,0.001221036911010742
