pca__n_components,svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
150,0.01,linear,4,0.9,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,0.01,linear,5,0.1,0.35,0.1875,1.0,0.3157894736842105,0.21004201260420144
150,0.01,linear,5,0.2,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
150,0.01,linear,5,0.30000000000000004,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
150,0.01,linear,5,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,linear,5,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,linear,5,0.6,0.85,1.0,0.0,0.0,0.0
150,0.01,linear,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
150,0.01,linear,5,0.8,0.85,1.0,0.0,0.0,0.0
150,0.01,linear,5,0.9,0.85,1.0,0.0,0.0,0.0
150,0.01,rbf,1,0.1,0.8524590163934426,0.5384615384615384,0.7,0.6086956521739131,0.5264765918917523
150,0.01,rbf,1,0.2,0.8360655737704918,0.5,0.4,0.4444444444444444,0.3526759393054789
150,0.01,rbf,1,0.30000000000000004,0.8688524590163934,0.6666666666666666,0.4,0.5,0.4485137534646401
150,0.01,rbf,1,0.4,0.8688524590163934,0.6666666666666666,0.4,0.5,0.4485137534646401
150,0.01,rbf,1,0.5,0.8524590163934426,0.6,0.3,0.4,0.3519553224766005
150,0.01,rbf,1,0.6,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
150,0.01,rbf,1,0.7000000000000001,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,0.01,rbf,1,0.8,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,0.01,rbf,1,0.9,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
150,0.01,rbf,2,0.1,0.75,0.3684210526315789,0.7,0.4827586206896552,0.36853106738124597
150,0.01,rbf,2,0.2,0.7666666666666667,0.25,0.2,0.2222222222222222,0.08770580193070292
150,0.01,rbf,2,0.30000000000000004,0.7666666666666667,0.16666666666666666,0.1,0.125,0.0
150,0.01,rbf,2,0.4,0.7666666666666667,0.16666666666666666,0.1,0.125,0.0
150,0.01,rbf,2,0.5,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
