criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
entropy,100,5,1,sqrt,0.7333333333333333,0.739047619047619,0.7555555555555555,0.7333333333333333,0.22730662777774138
entropy,100,10,1,sqrt,0.7777777777777778,0.7725180375180376,0.7777777777777778,0.7709047127622979,0.227306663333406
entropy,100,2,2,sqrt,0.7333333333333334,0.8666666666666666,0.6,0.6866666666666668,0.22730670000002848
entropy,100,5,2,sqrt,0.7555555555555555,0.7701298701298701,0.7555555555555554,0.7526050420168067,0.22730673333329227
entropy,100,10,2,sqrt,0.8111111111111111,0.8156998556998557,0.8,0.8011988304093567,0.22730677000007643
entropy,100,2,5,sqrt,0.6666666666666666,0.7213203463203463,0.5555555555555556,0.6063725490196078,0.22730680333334022
entropy,100,5,5,sqrt,0.7666666666666667,0.8062393162393162,0.7555555555555555,0.7530359561319314,0.22730684111108226
entropy,100,10,5,sqrt,0.7,0.7255555555555555,0.6444444444444444,0.6532999164578112,0.227306878888986
entropy,100,2,10,sqrt,0.7333333333333334,0.7559523809523808,0.6666666666666666,0.7047058823529412,0.22730691333336936
entropy,100,5,10,sqrt,0.6666666666666666,0.7399267399267399,0.6888888888888889,0.6844118200639939,0.22730695111111143
entropy,100,10,10,sqrt,0.7222222222222222,0.6451282051282051,0.7777777777777778,0.6871952608794715,0.22730698666677604
entropy,100,2,1,log2,0.711111111111111,0.7468253968253968,0.6444444444444445,0.6905228758169935,0.22730702444451809
entropy,100,5,1,log2,0.7,0.7383116883116884,0.6,0.6158691308691309,0.22730706000002102
entropy,100,10,1,log2,0.8111111111111111,0.7755844155844157,0.8666666666666666,0.813421052631579,0.22730709444440436
entropy,100,2,2,log2,0.5555555555555556,0.5377777777777778,0.6666666666666666,0.5525472112428634,0.22730713000006897
entropy,100,5,2,log2,0.6444444444444445,0.732034632034632,0.5777777777777777,0.5764985994397759,0.22730716555557187
entropy,100,10,2,log2,0.7333333333333334,0.7984615384615384,0.711111111111111,0.6982831410075993,0.22730720222219436
entropy,100,2,5,log2,0.5333333333333334,0.7191666666666666,0.5111111111111111,0.39161904761904764,0.22730723777785897
entropy,100,5,5,log2,0.5777777777777777,0.7691666666666667,0.5111111111111111,0.41850980392156867,0.22730727444448146
entropy,100,10,5,log2,0.5222222222222221,0.6789592760180996,0.4,0.3146853146853147,0.22730731222222353
entropy,100,2,10,log2,0.5,1.0,0.0,0.0,0.22730734666676855
entropy,100,5,10,log2,0.5888888888888889,0.7066666666666666,0.5555555555555556,0.5074637681159421,0.2273073777777932
entropy,100,10,10,log2,0.47777777777777775,0.5971428571428572,0.2,0.19736842105263158,0.22730741666665483
entropy,300,2,1,None,0.8333333333333334,0.8441919191919192,0.8222222222222222,0.8296732026143792,0.22730745555551646
entropy,300,5,1,None,0.8333333333333334,0.8905555555555555,0.7777777777777778,0.8197749275148656,0.2273074933334202
entropy,300,10,1,None,0.8777777777777779,0.9164141414141416,0.8444444444444444,0.870718954248366,0.22730753111116225
entropy,300,2,2,None,0.8222222222222223,0.8305555555555555,0.8222222222222222,0.8211017740429506,0.22730756888890433
entropy,300,5,2,None,0.8222222222222223,0.8405555555555555,0.7999999999999999,0.818094255245958,0.22730768444453134
entropy,300,10,2,None,0.8666666666666668,0.9349999999999999,0.7999999999999999,0.8563622291021671,0.22730772222227338
